maskapai,asal,tujuan,tahun,penumpang,harga
mataram,JOG,BTH,2017,120,2274543
mataram,BTO,UPG,2015,95,1775574
rajawali,BDO,DPS,2016,118,2234554
country link,CGK,DPS,2014,174,3406382
water asia,CGK,DPS,2014,165,3227661
water asia,KNO,HLP,2015,166,1373891
mataram,PKU,SRG,2017,78,1409318
mataram,BDO,SRG,2014,61,1031599
mataram,KNO,DPS,2015,174,3418863
rajawali,PKU,HLP,2016,196,3904525
country link,PKU,BTH,2014,169,3312539
rajawali,JOG,DPS,2015,69,1214667
rajawali,KNO,HLP,2015,181,3576309
mataram,PKU,UPG,2016,173,3385938
macan,BTO,UPG,2014,110,2079256
macan,BDO,UPG,2017,111,2087945
country link,CGK,PDG,2016,153,2979378
water asia,CGK,DPS,2017,195,3873213
country link,BDO,SRG,2014,168,3285846
rajawali,BDO,BTH,2017,65,1129625
mataram,KNO,HLP,2014,123,2337913
rajawali,CGK,PDG,2014,70,1245218
rajawali,JOG,BTH,2016,143,2764772
rajawali,BDO,BTH,2017,135,2594235
macan,KNO,SRG,2014,96,1784868
country link,CGK,BTH,2017,104,1939602
rajawali,BDO,BTH,2017,135,2579602
country link,BDO,UPG,2014,144,2791202
macan,BDO,UPG,2015,74,1340144
water asia,BDO,HLP,2016,119,2259539
water asia,JOG,PDG,2016,86,1570494
water asia,BDO,UPG,2017,145,2806136
macan,BDO,PDG,2015,194,3858182
country link,KNO,UPG,2017,117,2207904
rajawali,CGK,UPG,2016,185,3657401
mataram,CGK,PDG,2015,192,3806871
rajawali,CGK,BTH,2014,145,2807916
mataram,PKU,UPG,2014,123,2353347
macan,CGK,BTH,2017,169,3320222
country link,JOG,PDG,2016,71,1265331
mataram,CGK,HLP,2017,137,2630892
rajawali,CGK,BTH,2017,126,2416929
water asia,BDO,BTH,2016,128,2447989
mataram,CGK,BTH,2017,70,1240258
country link,KNO,PDG,2014,162,3376259
water asia,BDO,SRG,2016,148,2864611
water asia,BTO,UPG,2017,136,2603264
rajawali,CGK,BTH,2017,128,2445116
macan,PKU,HLP,2017,115,2177590
rajawali,BDO,SRG,2016,108,2022124
country link,BDO,UPG,2016,112,2098422
rajawali,PKU,SRG,2017,108,2033151
macan,BTO,SRG,2014,60,1001412
country link,KNO,PDG,2015,73,1307949
rajawali,BTO,HLP,2017,179,3537453
rajawali,KNO,HLP,2015,182,3594669
water asia,CGK,PDG,2016,62,1048244
rajawali,CGK,DPS,2016,131,2515240
rajawali,KNO,UPG,2017,103,1934042
macan,BTO,PDG,2017,178,3493098
macan,BTO,PDG,2017,179,3517453
macan,JOG,PDG,2014,62,1055937
water asia,KNO,PDG,2014,138,2667798
water asia,BDO,SRG,2015,134,2576401
mataram,BTO,HLP,2017,140,2694629
mataram,KNO,PDG,2014,85,1547789
mataram,BTO,PDG,2015,189,3747761
mataram,JOG,BTH,2017,174,3414540
macan,CGK,PDG,2014,102,1913633
water asia,BDO,SRG,2015,134,2566178
mataram,JOG,HLP,2017,179,3516598
water asia,PKU,SRG,2014,113,2136639
rajawali,CGK,BTH,2017,156,3037213
mataram,KNO,HLP,2017,136,2610861
macan,PKU,BTH,2015,129,2472384
macan,JOG,PDG,2014,134,2562090
country link,BDO,PDG,2014,104,1940985
macan,BDO,BTH,2015,66,1152734
mataram,BTO,BTH,2014,119,2269559
rajawali,JOG,PDG,2014,195,3880071
macan,PKU,HLP,2015,193,3828185
macan,BTO,SRG,2015,85,1550594
water asia,JOG,BTH,2017,188,3725445
water asia,BDO,BTH,2015,68,1190229
rajawali,BDO,UPG,2015,67,1177666
mataram,KNO,SRG,2017,128,2446467
mataram,PKU,DPS,2015,141,2718157
rajawali,BTO,UPG,2015,117,2219392
country link,CGK,DPS,2016,62,1053674
rajawali,KNO,DPS,2014,62,1056652
mataram,JOG,SRG,2016,116,2199446
water asia,BTO,SRG,2014,76,1374238
rajawali,KNO,PDG,2017,98,1831853
mataram,BDO,UPG,2016,112,1124522
country link,BDO,DPS,2017,108,2036257
macan,BDO,PDG,2015,67,1180113
mataram,KNO,UPG,2014,128,2441835
mataram,KNO,UPG,2016,185,3719707
mataram,JOG,UPG,2014,164,2733820
water asia,BDO,HLP,2016,94,1754528
rajawali,JOG,HLP,2014,179,3519307
rajawali,BDO,PDG,2014,68,1182653
water asia,KNO,SRG,2015,66,1153896
rajawali,KNO,BTH,2014,164,3200537
macan,KNO,UPG,2016,108,2041943
rajawali,BTO,PDG,2014,125,2401633
rajawali,BDO,DPS,2014,198,3951291
water asia,BTO,PDG,2017,67,1178435
water asia,PKU,PDG,2015,132,2532693
macan,BDO,SRG,2015,134,2564716
water asia,JOG,UPG,2016,164,3215120
rajawali,CGK,SRG,2017,138,2658870
country link,JOG,HLP,2014,142,2747119
country link,BTO,SRG,2014,107,2013308
mataram,KNO,SRG,2014,81,1471025
rajawali,KNO,SRG,2017,128,2455967
macan,CGK,HLP,2014,197,3915378
macan,PKU,DPS,2015,77,1383622
mataram,PKU,DPS,2017,66,1146748
water asia,PKU,DPS,2016,150,2892977
country link,JOG,BTH,2017,107,2010933
mataram,PKU,HLP,2015,164,3204719
rajawali,KNO,BTH,2016,185,3642711
rajawali,KNO,HLP,2014,182,3590278
mataram,CGK,SRG,2015,163,3187152
macan,PKU,UPG,2014,182,3583273
rajawali,CGK,PDG,2015,154,3002388
country link,CGK,BTH,2015,174,3415053
country link,JOG,BTH,2015,138,2664716
rajawali,BDO,SRG,2017,156,3045336
country link,CGK,BTH,2014,185,3658566
macan,KNO,SRG,2015,150,2914191
water asia,BTO,SRG,2014,66,1166315
water asia,PKU,BTH,2016,99,1850114
mataram,JOG,SRG,2014,185,3644106
water asia,BTO,PDG,2015,64,1089468
water asia,JOG,DPS,2016,164,3204181
macan,CGK,BTH,2014,72,1289973
mataram,CGK,SRG,2015,96,1795046
water asia,PKU,SRG,2016,121,2303805
mataram,JOG,BTH,2014,121,2303625
macan,KNO,SRG,2016,118,2238920
rajawali,JOG,PDG,2015,196,3901708
macan,KNO,UPG,2017,153,1892989
water asia,JOG,BTH,2016,163,3184691
rajawali,KNO,DPS,2014,132,2526071
country link,KNO,PDG,2017,163,3183542
country link,KNO,BTH,2015,124,2381745
country link,JOG,DPS,2014,67,1168224
mataram,KNO,UPG,2014,85,1550222
mataram,PKU,PDG,2015,156,3038753
macan,BTO,UPG,2017,122,2324097
country link,BTO,DPS,2014,198,3945957
water asia,BDO,UPG,2017,154,2989378
mataram,PKU,BTH,2016,115,2164290
country link,BDO,BTH,2014,145,2817276
rajawali,JOG,BTH,2014,116,2185260
water asia,PKU,PDG,2015,173,3401541
macan,KNO,HLP,2016,146,2829614
country link,JOG,PDG,2014,132,2526189
rajawali,BDO,HLP,2015,193,3836248
water asia,BTO,UPG,2016,143,2772630
macan,KNO,SRG,2017,174,3425507
water asia,JOG,SRG,2016,200,3984547
rajawali,PKU,DPS,2017,171,3362101
water asia,JOG,SRG,2014,99,1847170
macan,JOG,DPS,2016,89,1645480
country link,BTO,SRG,2016,124,2372191
country link,JOG,HLP,2017,175,3426203
rajawali,BDO,SRG,2016,121,2316319
rajawali,BDO,HLP,2016,92,1704475
water asia,BTO,SRG,2014,200,3987692
country link,JOG,UPG,2016,152,2949586
mataram,BTO,HLP,2015,120,2272827
rajawali,CGK,PDG,2016,183,3595533
country link,KNO,BTH,2014,85,1551445
macan,JOG,UPG,2016,140,2699116
country link,BDO,UPG,2014,139,2682338
macan,JOG,BTH,2014,153,2988030
country link,CGK,PDG,2016,189,3756839
water asia,CGK,UPG,2014,154,3003367
country link,BDO,BTH,2017,132,2539791
mataram,JOG,UPG,2016,88,1612661
rajawali,BTO,PDG,2014,169,3309459
mataram,BTO,HLP,2014,66,1152973
mataram,JOG,BTH,2016,89,1632019
mataram,KNO,PDG,2015,130,2481930
macan,JOG,DPS,2016,77,1394706
water asia,PKU,UPG,2017,142,2733944
country link,BTO,PDG,2015,162,3161601
country link,JOG,PDG,2015,93,1718144
water asia,JOG,UPG,2015,170,3346713
rajawali,BTO,HLP,2016,155,3017045
country link,CGK,PDG,2016,68,1200219
mataram,KNO,UPG,2016,195,3872134
macan,KNO,PDG,2014,191,3792162
rajawali,PKU,UPG,2016,169,3312483
macan,BTO,BTH,2014,79,1434906
rajawali,CGK,UPG,2017,68,1196993
country link,JOG,UPG,2014,157,3049954
macan,BTO,DPS,2014,138,2656427
macan,JOG,BTH,2017,125,2383656
mataram,KNO,PDG,2017,181,3570013
country link,PKU,DPS,2015,163,3174497
rajawali,PKU,DPS,2014,177,3473688
macan,KNO,UPG,2014,105,1955349
rajawali,CGK,PDG,2016,161,3136495
country link,KNO,UPG,2015,94,1757120
rajawali,JOG,HLP,2014,182,3580592
macan,CGK,SRG,2016,72,1271144
mataram,JOG,PDG,2015,197,3912500
macan,CGK,PDG,2015,152,2954583
macan,CGK,PDG,2016,194,3848490
macan,PKU,HLP,2014,100,1862042
water asia,JOG,HLP,2015,171,3359107
rajawali,PKU,UPG,2016,138,2667380
rajawali,CGK,DPS,2017,139,2670823
water asia,PKU,UPG,2014,152,2944076
country link,PKU,BTH,2014,70,1229504
water asia,KNO,BTH,2015,200,3980640
mataram,JOG,SRG,2014,182,3591602
water asia,KNO,SRG,2016,86,1577280
macan,BDO,DPS,2014,117,2210813
rajawali,KNO,DPS,2015,118,2228688
rajawali,KNO,SRG,2015,175,3433222
country link,CGK,DPS,2017,105,1972343
water asia,BDO,UPG,2017,157,3060874
country link,KNO,SRG,2017,137,2635287
mataram,PKU,SRG,2016,131,2521248
macan,KNO,PDG,2017,121,2315600
country link,BTO,PDG,2015,152,2944314
water asia,BDO,HLP,2015,83,1505912
mataram,BTO,DPS,2014,164,3210955
water asia,CGK,UPG,2017,131,2517381
water asia,CGK,SRG,2017,143,2759235
macan,PKU,DPS,2015,100,1864695
rajawali,BDO,SRG,2015,179,3510912
macan,BDO,BTH,2014,90,1658439
mataram,JOG,SRG,2014,195,3884645
country link,CGK,DPS,2017,160,3114347
water asia,BTO,DPS,2014,115,2164816
rajawali,BTO,BTH,2016,61,1027832
water asia,CGK,DPS,2017,79,1417126
mataram,BTO,BTH,2016,97,1803259
country link,BDO,DPS,2016,158,3079548
rajawali,BTO,SRG,2014,121,2306051
mataram,KNO,HLP,2017,104,1939636
water asia,KNO,HLP,2015,170,3345923
country link,BTO,UPG,2016,145,2808797
macan,PKU,DPS,2016,162,3160540
mataram,KNO,UPG,2017,154,2990139
mataram,KNO,SRG,2014,145,2807444
country link,PKU,UPG,2015,103,1925139
water asia,BDO,PDG,2017,198,3950866
macan,PKU,UPG,2014,98,1836665
country link,PKU,BTH,2016,164,3204118
water asia,JOG,HLP,2016,122,2322658
mataram,JOG,SRG,2014,93,1711567
macan,BTO,SRG,2016,93,1719891
mataram,KNO,UPG,2017,176,3453985
water asia,KNO,PDG,2017,93,1735635
water asia,BDO,DPS,2015,184,3634573
rajawali,BDO,BTH,2014,191,3789227
water asia,BDO,DPS,2015,162,3159015
macan,PKU,BTH,2016,111,2091724
mataram,BDO,BTH,2015,191,3800073
water asia,JOG,UPG,2014,125,2383241
country link,KNO,SRG,2014,62,1037601
country link,BDO,SRG,2014,185,3640858
mataram,BDO,BTH,2015,121,2297888
macan,BTO,PDG,2017,188,3725198
water asia,BDO,DPS,2017,153,2983140
water asia,BDO,DPS,2016,85,1552500
mataram,BTO,DPS,2017,153,2980239
water asia,KNO,SRG,2015,177,3475889
water asia,BDO,HLP,2014,106,1984611
water asia,KNO,HLP,2015,116,2182560
country link,BTO,UPG,2015,155,3007179
water asia,KNO,PDG,2015,123,2344806
macan,JOG,HLP,2015,152,2947646
mataram,CGK,BTH,2016,152,2940248
mataram,PKU,BTH,2016,141,2726489
water asia,CGK,BTH,2015,83,1522197
macan,KNO,PDG,2017,187,3692067
rajawali,KNO,DPS,2014,143,2214312
country link,JOG,UPG,2014,101,1884017
water asia,BDO,BTH,2016,195,3869436
mataram,JOG,BTH,2016,115,2164408
water asia,PKU,PDG,2016,96,1797089
rajawali,KNO,BTH,2016,65,1131740
water asia,JOG,PDG,2014,121,2304962
macan,KNO,HLP,2016,138,2654150
rajawali,KNO,DPS,2015,88,1621400
country link,KNO,HLP,2016,186,3668076
rajawali,KNO,SRG,2015,93,1736712
macan,BDO,PDG,2017,118,2237420
rajawali,BTO,DPS,2017,130,2482698
water asia,CGK,PDG,2014,173,3386620
country link,BTO,SRG,2016,189,3752250
macan,JOG,BTH,2016,75,1345634
country link,BDO,HLP,2015,107,1996923
rajawali,JOG,BTH,2016,98,1825068
macan,JOG,DPS,2014,175,3426606
country link,CGK,UPG,2015,151,2916992
country link,KNO,BTH,2014,135,2596848
country link,KNO,HLP,2014,61,1021723
mataram,KNO,PDG,2016,81,1465240
mataram,PKU,UPG,2016,183,3604486
country link,JOG,SRG,2014,104,1952655
country link,BTO,HLP,2016,121,2305819
rajawali,CGK,DPS,2014,159,3101565
macan,BTO,BTH,2014,91,1679904
water asia,BDO,BTH,2014,109,2047278
mataram,BDO,PDG,2014,192,3821049
country link,KNO,DPS,2016,154,1411493
macan,KNO,SRG,2016,66,1165474
country link,BDO,UPG,2015,130,2492234
macan,JOG,PDG,2015,63,1080291
mataram,JOG,UPG,2015,144,2787937
rajawali,CGK,SRG,2016,163,3194862
mataram,KNO,HLP,2014,79,1431352
mataram,JOG,UPG,2015,167,3263101
macan,BTO,BTH,2014,161,3138629
rajawali,BTO,HLP,2014,198,3942983
rajawali,PKU,SRG,2017,76,1367003
mataram,BDO,UPG,2016,115,2178485
rajawali,BTO,PDG,2016,153,2982972
rajawali,KNO,SRG,2015,107,1992222
water asia,KNO,UPG,2014,70,1229981
rajawali,KNO,PDG,2016,163,1012913
macan,BDO,UPG,2016,68,1203846
macan,BDO,PDG,2016,106,1974307
macan,BTO,UPG,2016,199,3968901
water asia,JOG,PDG,2016,174,3415683
mataram,PKU,DPS,2014,175,3440062
mataram,PKU,DPS,2015,166,3252799
macan,BDO,HLP,2015,123,2357478
water asia,KNO,HLP,2017,199,3965047
country link,KNO,BTH,2017,147,2842616
rajawali,BDO,DPS,2015,174,3420725
water asia,KNO,UPG,2014,163,3180153
rajawali,BTO,HLP,2017,142,2753319
rajawali,PKU,PDG,2016,151,2928428
macan,BDO,DPS,2016,144,2774874
rajawali,BTO,DPS,2014,103,1916870
macan,BDO,PDG,2015,118,2230997
country link,CGK,HLP,2014,71,1248902
macan,BTO,UPG,2015,175,3439922
water asia,BDO,HLP,2016,68,1184345
water asia,PKU,SRG,2017,139,2678425
macan,BTO,HLP,2014,101,1877037
rajawali,BTO,BTH,2014,104,1934334
macan,JOG,HLP,2017,94,1746476
macan,KNO,DPS,2016,197,3912915
water asia,BDO,BTH,2016,189,3741488
mataram,JOG,HLP,2016,180,3543730
water asia,CGK,SRG,2016,118,2226311
rajawali,BDO,SRG,2016,151,2925695
country link,CGK,BTH,2017,130,2487361
rajawali,CGK,SRG,2017,102,1910662
water asia,CGK,PDG,2017,90,1652461
country link,CGK,HLP,2016,94,1743229
country link,JOG,BTH,2016,198,3945720
water asia,CGK,UPG,2015,161,3132577
country link,BTO,BTH,2014,122,2321076
mataram,JOG,PDG,2016,122,2325635
mataram,CGK,BTH,2017,79,1428420
macan,BDO,HLP,2016,84,1531968
mataram,PKU,SRG,2017,181,3577691
rajawali,BTO,HLP,2015,149,2870699
macan,CGK,HLP,2014,145,2805052
rajawali,BDO,HLP,2014,171,3363193
water asia,JOG,DPS,2015,63,1067485
water asia,KNO,PDG,2016,198,3944608
country link,KNO,PDG,2017,101,1882041
rajawali,BDO,UPG,2017,128,2445086
macan,JOG,SRG,2014,122,2326075
mataram,BTO,HLP,2015,138,2655118
rajawali,PKU,HLP,2016,194,3854003
country link,KNO,PDG,2016,73,1319427
mataram,BDO,DPS,2014,170,3341474
rajawali,CGK,BTH,2017,126,2414806
country link,PKU,HLP,2017,165,3424937
