,symbol,date,open,close,volume,spread,up/down
0,BTC,2013-04-28,135.3,134.21,0.0,3.88,DOWN
1,BTC,2013-04-29,134.44,144.54,0.0,13.49,UP
2,BTC,2013-04-30,144.0,139.0,0.0,12.88,DOWN
3,BTC,2013-05-01,139.0,116.99,0.0,32.17,DOWN
4,BTC,2013-05-02,116.38,105.21,0.0,33.32,DOWN
5,BTC,2013-05-03,106.25,97.75,0.0,29.03,DOWN
6,BTC,2013-05-04,98.1,112.5,0.0,22.5,UP
7,BTC,2013-05-05,112.9,115.91,0.0,11.66,UP
8,BTC,2013-05-06,115.98,112.3,0.0,18.02,DOWN
9,BTC,2013-05-07,112.25,111.5,0.0,15.74,DOWN
10,BTC,2013-05-08,109.6,113.57,0.0,6.18,UP
11,BTC,2013-05-09,113.2,112.67,0.0,4.2,DOWN
12,BTC,2013-05-10,112.8,117.2,0.0,10.45,UP
13,BTC,2013-05-11,117.7,115.24,0.0,5.67,DOWN
14,BTC,2013-05-12,115.64,115.0,0.0,4.01,DOWN
15,BTC,2013-05-13,114.82,117.98,0.0,4.2,UP
16,BTC,2013-05-14,117.98,111.5,0.0,9.55,DOWN
17,BTC,2013-05-15,111.4,114.22,0.0,12.31,UP
18,BTC,2013-05-16,114.22,118.76,0.0,6.56,UP
19,BTC,2013-05-17,118.21,123.02,0.0,8.73,UP
20,BTC,2013-05-18,123.5,123.5,0.0,2.95,SAME
21,BTC,2013-05-19,123.21,121.99,0.0,4.93,DOWN
22,BTC,2013-05-20,122.5,122.0,0.0,3.5,DOWN
23,BTC,2013-05-21,122.02,122.88,0.0,1.79,UP
24,BTC,2013-05-22,122.89,123.89,0.0,2.0,UP
25,BTC,2013-05-23,123.8,126.7,0.0,3.83,UP
26,BTC,2013-05-24,126.3,133.2,0.0,8.13,UP
27,BTC,2013-05-25,133.1,131.98,0.0,4.32,DOWN
28,BTC,2013-05-26,131.99,133.48,0.0,5.38,UP
29,BTC,2013-05-27,133.5,129.75,0.0,10.77,DOWN
30,BTC,2013-05-28,129.77,129.0,0.0,4.98,DOWN
31,BTC,2013-05-29,129.0,132.3,0.0,4.93,UP
32,BTC,2013-05-30,132.25,128.8,0.0,5.25,DOWN
33,BTC,2013-05-31,128.8,129.0,0.0,3.5,UP
34,BTC,2013-06-01,128.81,129.3,0.0,2.58,UP
35,BTC,2013-06-02,129.3,122.29,0.0,14.35,DOWN
36,BTC,2013-06-03,122.5,122.22,0.0,6.5,DOWN
37,BTC,2013-06-04,120.74,121.42,0.0,4.74,UP
38,BTC,2013-06-05,121.4,121.65,0.0,3.57,UP
39,BTC,2013-06-06,121.9,118.0,0.0,5.85,DOWN
40,BTC,2013-06-07,118.97,111.5,0.0,12.58,DOWN
41,BTC,2013-06-08,111.0,108.3,0.0,4.12,DOWN
42,BTC,2013-06-09,107.89,100.0,0.0,20.49,DOWN
43,BTC,2013-06-10,100.44,106.35,0.0,15.1,UP
44,BTC,2013-06-11,106.35,108.9,0.0,5.6,UP
45,BTC,2013-06-12,109.0,108.15,0.0,5.06,DOWN
46,BTC,2013-06-13,108.78,104.0,0.0,9.77,DOWN
47,BTC,2013-06-14,103.95,99.98,0.0,6.7,DOWN
48,BTC,2013-06-15,100.0,99.99,0.0,5.7,DOWN
49,BTC,2013-06-16,99.8,99.51,0.0,2.65,DOWN
50,BTC,2013-06-17,99.9,101.7,0.0,3.21,UP
51,BTC,2013-06-18,101.95,107.4,0.0,10.08,UP
52,BTC,2013-06-19,107.05,108.25,0.0,4.47,UP
53,BTC,2013-06-20,108.25,110.15,0.0,6.8,UP
54,BTC,2013-06-21,111.29,109.5,0.0,7.3,DOWN
55,BTC,2013-06-22,109.5,108.3,0.0,2.45,DOWN
56,BTC,2013-06-23,108.2,107.6,0.0,2.57,DOWN
57,BTC,2013-06-24,107.9,102.74,0.0,7.35,DOWN
58,BTC,2013-06-25,102.09,103.95,0.0,5.46,UP
59,BTC,2013-06-26,103.33,104.0,0.0,2.7,UP
60,BTC,2013-06-27,104.0,101.44,0.0,2.9,DOWN
61,BTC,2013-06-28,101.74,94.65,0.0,9.41,DOWN
62,BTC,2013-06-29,94.66,94.99,0.0,6.99,UP
63,BTC,2013-06-30,95.0,96.61,0.0,3.9,UP
64,BTC,2013-07-01,97.51,88.05,0.0,11.36,DOWN
65,BTC,2013-07-02,88.05,90.13,0.0,4.79,UP
66,BTC,2013-07-03,90.41,77.53,0.0,14.0,DOWN
67,BTC,2013-07-04,78.89,80.53,0.0,11.11,UP
68,BTC,2013-07-05,79.99,68.43,0.0,14.47,DOWN
69,BTC,2013-07-06,68.5,70.28,0.0,8.18,UP
70,BTC,2013-07-07,68.75,74.56,0.0,7.94,UP
71,BTC,2013-07-08,76.5,76.52,0.0,7.4,UP
72,BTC,2013-07-09,76.0,76.69,0.0,5.78,UP
73,BTC,2013-07-10,76.72,86.76,0.0,10.8,UP
74,BTC,2013-07-11,88.0,88.98,0.0,5.2,UP
75,BTC,2013-07-12,88.98,93.59,0.0,15.83,UP
76,BTC,2013-07-13,93.99,98.13,0.0,10.19,UP
77,BTC,2013-07-14,98.7,94.69,0.0,5.84,DOWN
78,BTC,2013-07-15,93.61,98.4,0.0,8.79,UP
79,BTC,2013-07-16,98.89,97.45,0.0,3.72,DOWN
80,BTC,2013-07-17,96.71,98.5,0.0,3.79,UP
81,BTC,2013-07-18,98.5,90.58,0.0,12.6,DOWN
82,BTC,2013-07-19,90.07,92.17,0.0,7.4,UP
83,BTC,2013-07-20,92.0,89.39,0.0,3.83,DOWN
84,BTC,2013-07-21,89.82,90.76,0.0,3.95,UP
